keyword,subj,positive,negative,anger,disgust,fear,happy,sad,surprise
ιδεοληψίες,0.5,0.0,0.5,0.0,0.25,0.0625,0.0,0.0,0.1875
άτρομα,0.5,0.25,0.5,0.0625,0.0,0.0,0.3125,0.0,0.3125
χαμογελάσετε,0.75,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.1875
γαβγίσαμε,0.625,0.0,0.75,0.375,0.3125,0.25,0.0,0.0,0.1875
μελοδραματισμέ,0.5,0.0,0.75,0.0,0.375,0.0,0.0,0.125,0.125
βεβαιωμένα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
επικαλεσμένα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
εγκαρδιότατους,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.4375
πανηγυρικότατο,0.75,1.0,0.0,0.0,0.0,0.0,0.8125,0.0,0.5
κουκουλώσουμε,0.25,0.0,0.5,0.1875,0.375,0.0625,0.0,0.1875,0.3125
αλογομούρηδών,0.875,0.0,1.0,0.3125,0.8125,0.0,0.0,0.0,0.3125
υποχρέωσες,0.25,0.0,0.5,0.0,0.125,0.0,0.0,0.0,0.125
φαινόσουνα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
χαιρετούρες,0.5,0.0,0.75,0.0625,0.25,0.0,0.0,0.0,0.25
εξετάσουμε,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
πάγωσ' τους,0.375,0.0,0.75,0.125,0.1875,0.5,0.0,0.0,0.5
διανθίσει,0.375,0.75,0.0,0.0,0.0,0.0,0.375,0.0,0.1875
όρασής,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
σουτάρουν,0.625,0.0,0.75,0.25,0.0625,0.0,0.0,0.0,0.3125
σιτεύουμε,0.25,0.0,0.5,0.125,0.25,0.0,0.0,0.0,0.1875
βλάχο,0.875,0.0,1.0,0.5625,0.5,0.0,0.0,0.0,0.125
ξενόφοβό,0.625,0.0,1.0,0.3125,0.3125,0.5,0.0,0.0,0.25
στέρησή,0.5,0.0,0.75,0.0,0.125,0.0,0.0,0.25,0.0625
σουβλιές,0.625,0.0,0.75,0.0625,0.25,0.125,0.0,0.125,0.4375
απαισιότατης,0.75,0.0,1.0,0.5,0.75,0.0625,0.0,0.1875,0.125
